Genesis 1:1	Mwanzo hapo, Mungu aliumba mbingu na dunia.
Genesis 2:8	Kisha, Bwana Mungu akapanda bustani katika Edeni, ambayo iko upande wa mashariki. Katika bustani humo, akaweka mtu ambaye alikuwa ameumba.
Genesis 2:9	Bwana Mungu akaotesha miti ya aina zote ambayo ilikuwa inapendeza machoni, na ambayo ilikuwa na matunda matamu ya kuliwa. Katikati ya bustani hiyo, kulikuwepo mti wa kuwapa watu uzima, na mti wa kujua mema na mabaya.
Genesis 2:10	Edeni huko, kulikuwepo mto ambao ulikuwa unatiririsha maji na kumwagilia bustani. Kuanzia hapo, mto huo ukagawanyika ikawa mito minne.
Genesis 2:11	Mto wa kwanza unaitwa Pishoni, ndio unazunguka nchi yote ya Havila. Nchi hiyo, ilikuwa na dhahabu,
Genesis 2:12	na dhahabu yake ni nzuri. Tena, palikuwa na mafuta ya kunukia ambayo yaliitwa bedora, na mawe mazuri ambayo yanaitwa shohamu.
Genesis 2:13	Mto wa pili unaitwa Gihoni, ndio unazunguka nchi yote ya Kushi.
Genesis 2:14	Mto wa tatu unaitwa Tigris, ndio unatiririsha kuelekea upande wa mashariki wa nchi ya Ashuru. Na mto wa nne unaitwa Eufrate.
Genesis 2:15	Basi, Bwana Mungu alikuwa amemweka mtu huyo katika bustani ya Edeni, ili awe anailima na kuitunza.
Genesis 2:16	Bwana Mungu akamwambia kwamba, “Katika bustani hii, unaruhusiwa kula matunda ya miti hii yote.
Genesis 2:17	Lakini usile matunda ya mti wa kujua mema na mabaya, kwa kuwa siku ambayo utakula matunda ya mti huo, hakika utakufa.”
Genesis 2:18	Kisha Bwana Mungu akasema kwamba, “Si vizuri mtu huyu akae peke yake, kwa hiyo nitamfanyia mtu wa kumsaidia ambaye anamfaa.”
Genesis 2:19	Basi, Bwana Mungu akaumba kutoka udongoni wanyama wote wa porini, na ndege wote wa anga. Akawaleta kwa Adamu ili aone jinsi atavipa majina. Majina ambayo alivipa viumbe vyote hai, ndiyo yakawa majina yao.
Genesis 2:20	Basi, wanyama wote wa kufugwa na wa porini, na ndege wote wa anga, Adamu akavipa majina. Lakini hakuonekana mtu wa kumsaidia ambaye anamfaa.
Genesis 2:21	Ndipo Bwana Mungu akamletea Adamu usingizi mzito. Ambapo alilala, Bwana Mungu akatoa ubavu mmoja, na mahali pale ambapo alitoa ubavu, akafunika kwa nyama.
Genesis 2:22	Ubavu ambao alitoa kwa Adamu, akaufanya ukawa mwanamke. Kisha, akamleta kwake.
Genesis 2:23	Ndipo Adamu akasema kwamba, “Sasa huyu ni mfupa kutoka kwenye mifupa yangu, na ni nyama kutoka kwenye nyama yangu! Atakuwa anaitwa ‘Mwanamke,’ kwa kuwa ametolewa kwa mwanaume.”
Genesis 2:24	Ndiyo maana, mwanaume huacha baba yake na mama yake, aambatane na mke wake. Nao wawili, wanakuwa mwili mmoja.
Genesis 2:25	Adamu na mkewe walikuwa uchi, lakini hawakuona aibu.
Genesis 3:1	Katika wanyama wote ambao Bwana Mungu aliumba, nyoka ndiye alikuwa mwerevu kuliko wote. Siku moja, nyoka akauliza mwanamke kwamba, “Hivi, ni kweli kwamba Mungu amesema kwamba, msile matunda ya miti yote ambayo iko bustanini humu?”
Genesis 3:2	Mwanamke akamjibu kwamba, “Hapana, matunda ya miti ambayo iko bustanini humu, tunaruhusiwa kula.
Genesis 3:3	Lakini Mungu amesema kwamba, ‘Musile matunda ya mti wa katikati ya bustani wala kuyagusa. Ikiwa mtayagusa au kuyala, mtakufa!’ ”
Genesis 3:4	Ndipo nyoka ikaambia mwanamke huyo kwamba, “Kweli hamtakufa!
Genesis 3:5	Mungu alisema hivyo, kwa kuwa anajua kwamba, iwapo mtakula matunda ya mti huo, mtapata maarifa na mtakuwa kama yeye kwa kujua mema na mabaya.”
Genesis 3:6	Mwanamke huyo, ambapo aliona kwamba matunda ya mti huo ni mazuri kwa kuliwa na ya kupendeza machoni, nayo yangempa hekima, akachuma akala. Kisha akampa mume wake, naye pia akala.
Genesis 3:7	Hapo ndipo wakapata maarifa ya kujua mema na mabaya, wakajitambua kwamba wote wawili wako uchi. Ndipo wakachuma majani ya mtini, wakajitengenezea mavazi, wakavaa kiunoni.
Genesis 3:8	Ambapo ilifika jioni na joto lilipungua, Adamu na mke wake wakasikia vishindo vya Bwana Mungu akitembea bustanini humo. Ambapo walimsikia, wakaenda kujificha katikati ya miti ili asiwaone.
Genesis 3:9	Lakini Bwana Mungu akamwita Adamu kwamba, “Adamu, uko wapi?”
Genesis 3:10	Adamu akamjibu kwamba, “Nilisikia uko bustanini, nikaogopa, nikajificha, kwa kuwa niko uchi.”
Genesis 3:11	Bwana Mungu akamwuliza kwamba, “Ni nani ambaye amekuambia kwamba uko uchi? Au umekula matunda ya mti ambao nilikukataza usile?”
Genesis 3:12	Adamu akamjibu kwamba, “Mwanamke ambaye ulinipa kwamba awe pamoja na mimi, ndiye amenipa matunda ya mti huo, nikala.”
Genesis 3:13	Ndipo Bwana Mungu akamwuliza mwanamke huyo kwamba, “Wewe, umefanya nini?” Mwanamke huyo akamjibu kwamba, “Nyoka ndiye alinidanganya, nikala.”
Genesis 3:14	Kisha Bwana Mungu akaambia nyoka kwamba, “Kwa sababu umefanya hivyo, nimekulaani wewe peke yako kati ya wanyama wote wa kufugwa na wa porini. Utakuwa unatembelea tumbo, utakuwa unatambaa mavumbini, siku zote za maisha yako.
Genesis 3:15	Naweka uadui kati ya wewe na mwanamke huyo, na kati ya uzao wako na wake. Uzao wake utakupiga kichwa, na wewe utauma kisigino.”
Genesis 3:16	Kisha akaambia mwanamke huyo kwamba, “Nitakuongezea uchungu katika ujamzito, utakuwa unazaa watoto kwa uchungu mkali sana. Hata hivyo, hamu yako itakuwa kwa mume wako, lakini yeye atakuwa anakutawala.”
Genesis 3:17	Kisha akaambia Adamu kwamba, “Kwa sababu umesikiliza mke wako, na ukala matunda ya mti ambao nilikukataza usile, ardhi imelaaniwa kwa ajili yako. Utapata vyakula kwa kufanya kazi ngumu, siku zote za maisha yako.
Genesis 3:18	Ardhi itakuzalia miiba na michongoma, nawe utakula mboga za majani kutoka ardhi hiyo.
Genesis 3:19	Utakuwa unapata vyakula vyako kwa kutoa jasho, mpaka wakati ukirudi udongoni, kwa kuwa udongoni ndimo ulitokea. Wewe ni mavumbi, na mavumbini ndimo utarudi.”
Genesis 3:20	Kisha Adamu akamwita mke wake Hawa, kwa kuwa Hawa ndiye mama wa watu wote.
Genesis 3:21	Bwana Mungu akafanyia Adamu na mke wake nguo za ngozi, akawavalisha.
Genesis 3:22	Baada ya hapo, Bwana Mungu akasema kwamba, “Sasa mtu huyu amekuwa kama mmoja wetu, anajua mema na mabaya. Inatakiwa sasa nimzuie asije kula matunda ya mti wa kuwapa watu uzima, kwa kuwa akila, ataishi milele.”
Genesis 3:23	Kwa hiyo, Bwana Mungu akawafukuza kutoka bustani ya Edeni, ili waende kulima ardhini ambayo walitolewa.
Genesis 3:24	Ambapo alimaliza kuwafukuza kutoka katika bustani, akaweka malaika upande wa mashariki wa bustani ya Edeni, pamoja na upanga wa moto ambao ulikuwa unageukageuka pande zote. Upanga huo, ulikuwa unalinda njia ya kwenda kwenye mti wa kuwapa watu uzima.
Genesis 4:1	Adamu akalala na mke wake Hawa, naye akachukua mimba, akazaa mtoto, akamwita Kaini. Akasema kwamba, “Bwana Mungu amenisaidia kupata mtoto wa kiume.”
Genesis 4:2	Hawa akachukua mimba tena, akazaa mdogo wa Kaini, akamwita Abeli. Abeli huyo akawa mfugaji wa kondoo na mbuzi, na Kaini yeye akawa mkulima.
Genesis 4:3	Basi, siku moja, Kaini akamtolea Bwana Mungu dhabihu ya mavuno yake.
Genesis 4:4	Abeli naye, akaleta fungu nono kutoka baadhi ya wazaliwa wa kwanza wa mifugo yake. Bwana Mungu akapendezwa na Abeli, na dhabihu yake.
Genesis 4:5	Lakini hakupendezwa na Kaini, na dhabihu yake. Ndipo, Kaini akakasirika sana, na uso wake ukakunjamana.
Genesis 4:6	Bwana Mungu akamwuliza Kaini kwamba, “Kwa nini umekasirika hivyo? Na kwa nini uso wako umekunjamana?
Genesis 4:7	Ukifanya vizuri, utakubaliwa. Ukishindwa kufanya vizuri, maovu yanakusongelea kwa nia mbaya, yanataka kukuvamia. Wewe unatakiwa uyashinde.”
Genesis 4:8	Kisha, Kaini akaambia mdogo wake Abeli kwamba, [“Twende shambani.”] Ambapo walikuwa shambani, Kaini akapiga mdogo wake, akamwua.
Genesis 4:9	Kisha Bwana Mungu akauliza Kaini kwamba, “Mdogo wako Abeli yuko wapi?” Kaini akamjibu kwamba, “Sijui! Mimi si mlinzi wa mdogo wangu.”
Genesis 4:10	Bwana Mungu akamwuliza kwamba, “Ni jambo gani ambalo umefanya? Damu ya mdogo wako, inanililia kutoka udongoni.
Genesis 4:11	Sasa wewe, umelaaniwa! Hutalima tena ardhi hii, imekunywa damu ya mdogo wako, na ni wewe umemwua!
Genesis 4:12	Ambapo utakuwa ukilima ardhi hiyo, haitakutolea mavuno yake tena. Utakuwa mtu wa kuzururazurura bila kupata makao duniani.”
Genesis 4:13	Kaini akaambia Bwana Mungu kwamba, “Adhabu ambayo umenipa, ni nzito sana, sitaweza kuistahimili!
Genesis 4:14	Tazama, leo umenifukuza kutoka katika nchi hii, nitoke nisionekane tena mbele yako. Sasa nitakuwa mtu wa kuzururazurura duniani, na mtu yeyote ambaye ataniona, ataniua.”
Genesis 4:15	Bwana Mungu akamjibu kwamba, “Hapana, si hivyo. Mtu yeyote ambaye atakuua, atalipizwa kisasi mara saba.” Hapo, Bwana Mungu akawekea Kaini alama, ili mtu yeyote ambaye atamwona, asimwue.
Genesis 4:16	Kisha, Kaini akatoka mbele ya Bwana, akaenda kukaa katika nchi ya Nodi, upande wa mashariki ya Edeni.
Genesis 4:17	Kaini akalala na mke wake, naye akachukua mimba, akazaa mtoto, akamwita Henoko. Kisha, Kaini akajenga mji, akaupa jina la mtoto wake Henoko.
Genesis 4:18	Henoko akazaa Iradi, Iradi naye akazaa Mehuyaeli. Mehuyaeli akazaa Methushaeli, Methushaeli naye akazaa Lameki.
Genesis 4:19	Lameki akaoa wanawake wawili, wa kwanza jina lake Ada, wa pili Sila.
Genesis 4:20	Ada akazaa Yabali, ndiye baba ya watu ambao walikuwa wakikaa mwenye mahema na kufuga mifugo.
Genesis 4:21	Ndugu yake Yubali, ndiye alikuwa mzazi wa wapiga filimbi na zeze.
Genesis 4:22	Sila naye, akazaa Tubal-Kaini, huyo ndiye mhunzi wa vifaa vya shaba na chuma. Tubal-Kaini alikuwa na dada, aliitwa Naama.
Genesis 4:23	Lameki akaambia wake zake kwamba, “Enyi Ada na Sila, wake wangu, msikilize ambacho nitawaambia. Niliua kijana kwa kunifanyia kidonda, nilimwua kwa sababu aliniumiza.
Genesis 4:24	Ikiwa mtu ambaye anamwua Kaini, atalipizwa kisasi mara saba, lakini mtu ambaye anamwua Lameki, atalipizwa kisasi mara sabini na saba!”
Genesis 4:25	Adamu akalala na mke wake Hawa, naye akazaa tena mtoto wa kiume, akamwita jina Sethi. Akasema kwamba, “Mungu amenipa mtoto mwingine. Ameziba nafasi ya Abeli, ambaye Kaini aliua.”
Genesis 4:26	Sethi naye akazaa mtoto wa kiume, akamwita jina Enoshi. Kuanzia hapo, ndipo watu walianza kuabudu Bwana Mungu kwa jina la Yehova.
Genesis 5:1	Huu ndio uzao wa Adamu. Ambapo Mungu aliumba watu, aliwaumba wakifanana naye.
Genesis 5:2	Aliumba mwanaume na mwanamke, kisha akawabariki, akawaita “Watu.”
Genesis 5:3	Ambapo Adamu alifikisha miaka mia moja na thelathini, akazaa mtoto ambaye amefanana naye kwa umbo wake, akamwita Sethi.
Genesis 5:4	Ambapo alimaliza kuzaa Sethi, akaishi miaka mia nane. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:5	Adamu ambapo alifikisha miaka mia tisa na thelathini, akafa.
Genesis 5:6	Ambapo Sethi alifikisha miaka mia moja na tano, akazaa Enoshi.
Genesis 5:7	Ambapo alimaliza kuzaa Enoshi, akaishi miaka mia nane na saba. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:8	Sethi ambapo alifikisha miaka mia tisa na kumi na miwili, akafa.
Genesis 5:9	Ambapo Enoshi alifikisha miaka tisini, akazaa Kenani.
Genesis 5:10	Ambapo alimaliza kuzaa Kenani, akaishi miaka mia nane na kumi na tano. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:11	Enoshi ambapo alifikisha miaka mia tisa na tano, akafa.
Genesis 5:12	Ambapo Kenani alifikisha miaka sabini, akazaa Mahalaleli.
Genesis 5:13	Ambapo alimaliza kuzaa Mahalaleli, akaishi miaka mia nane na arobaini. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:14	Kenani ambapo alifikisha miaka mia tisa na kumi, akafa.
Genesis 5:15	Ambapo Mahalaleli alifikisha miaka sitini na tano, akazaa Yaredi.
Genesis 5:16	Ambapo alimaliza kuzaa Yaredi, akaishi miaka mia nane na thelathini. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:17	Mahalaleli ambapo alifikisha miaka mia nane tisini na tano, akafa.
Genesis 5:18	Ambapo Yaredi alifikisha miaka mia moja na sitini na miwili, akazaa Henoko.
Genesis 5:19	Ambapo alimaliza kuzaa Henoko, akaishi miaka mia nane. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:20	Yaredi ambapo alifikisha miaka mia tisa sitini na miwili, akafa.
Genesis 5:21	Ambapo Henoko alifikisha miaka sitini na tano, akazaa Methusela.
Genesis 5:22	Ambapo alimaliza kuzaa Methusela, akaishi miaka mia tatu. Henoko alikuwa anaishi vizuri na Mungu. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:23	Miaka yote ambayo Henoko aliishi duniani, ilikuwa miaka mia tatu sitini na tano.
Genesis 5:24	Henoko aliishi vizuri na Mungu, ndipo akatoweka kwa kuchukuliwa na Mungu.
Genesis 5:25	Ambapo Methusela alifikisha miaka mia moja na themanini na saba, akazaa Lameki.
Genesis 5:26	Ambapo alimaliza kumzaa Lameki, akaishi miaka mia saba themanini na mbili. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:27	Methusela ambapo alifikisha miaka mia tisa sitini na tisa, akafa.
Genesis 5:28	Ambapo Lameki alifikisha miaka mia moja na themanini na mbili, akazaa mtoto wa kiume,
Genesis 5:29	akamwita Nuhu. Akasema kwamba, “Mtoto huyu, ndiye atatufariji katika kazi yetu ngumu ambayo tunafanya kwa mikono yetu katika ardhi ambayo imelaaniwa na Bwana.”
Genesis 5:30	Ambapo alimaliza kuzaa Nuhu, akaishi miaka mia tano tisini na tano. Katika miaka hiyo, alizaa watoto wengine wa kiume na wa kike.
Genesis 5:31	Lameki ambapo alifikisha miaka mia saba sabini na saba jumla, akafa.
Genesis 5:32	Ambapo Nuhu alifikisha miaka mia tano, akazaa Shemu, Hamu na Yafethi.
Genesis 6:1	Ambapo watu walianza kuongezeka duniani na mabinti walizaliwa kwao,
Genesis 6:2	watoto wa Mungu wakaona mabinti za watu kwamba, ni wazuri. Kwa hiyo, wakajichagulia wanawake wowote ambao walitaka, wawe wake zao.
Genesis 6:3	Ndipo Bwana Mungu akasema kwamba, “Roho yangu haitakaa ndani ya watu milele, kwa kuwa hao ni wa kufa. Kwa hiyo, miaka yao ya kuishi haitazidi mia moja na ishirini.”
Genesis 6:4	Katika siku hizo na hata badaaye, majitu walikuwa wanaishi duniani. Walizaliwa ambapo watoto wa Mungu walikuwa wanalala na mabinti wa watu na kuzaa. Majitu hao walikuwa hodari, tena walikuwa wanajulikana katika siku za zamani hizo.
Genesis 6:5	Bwana Mungu akaona kwamba maovu ya watu yalikuwa yamezidi sana duniani, na chochote ambacho walikuwa wakifikiri, kilikuwa kibaya siku zote.
Genesis 6:6	Bwana Mungu akajuta kwamba aliumba mtu duniani, akahuzunika sana moyoni mwake.
Genesis 6:7	Ndipo Bwana Mungu akasema kwamba, “Nitaangamiza watu ambao niliumba duniani. Nitaangamiza mifugo, wanyama wa porini, viumbe ambavyo vinatambaa chini, na hata ndege wa anga. Ninajuta kwamba, niliviumba.”
Genesis 6:8	Lakini Nuhu, ndiye alipendeza Bwana Mungu.
Genesis 6:9	Hii ndiyo habari juu ya Nuhu na uzao wake. Nuhu alikuwa mtu wa haki, mtu ambaye alikuwa anakubaliwa na watu wote wa wakati wake, alikuwa anaishi mbele ya Mungu bila lawama.
Genesis 6:10	Nuhu alikuwa na watoto watatu wa kiume, Shemu, Hamu na Yafethi.
Genesis 6:11	Kwa wakati huo, dunia ikawa imejaa uovu na imeharibika machoni ya Mungu.
Genesis 6:12	Mungu akaona jinsi dunia ilikuwa imeharibika, kwa kuwa kila mtu alikuwa anaenda na tabia yake mbaya.
Genesis 6:13	Ndipo Mungu akaambia Nuhu kwamba, “Nimeamua kwamba, nitaangamiza watu wote, kwa kuwa wamejaza uovu duniani yote. Kweli nitaangamiza watu, pamoja na dunia yote!
Genesis 6:14	Sasa uende ukate miti ya mvinje, ujenge safina. Katika safina humo, uweke vyumba, uipake lami ndani na nje yake.
Genesis 6:15	Urefu wa safina hiyo, uwe miguu mia moja thelathini na tisa. Na upana wake uwe miguu ishirini na tano, na urefu wake kwenda juu uwe miguu kumi na tano.
Genesis 6:16	Safina hiyo ujenge iwe na ghorofa tatu. Upande moja uweke mlango. Utengeneze paa, na uache nafasi ya mkono mmoja ambacho kiwe kati ya paa na dari.
Genesis 6:17	“Hakika, nitaleta mafuriko ya maji duniani, ili niangamize viumbe vyote vyenye uhai. Viumbe vyote duniani vitaangamizwa.
Genesis 6:18	Lakini nitafanya agano pamoja na wewe. Utaingia katika safina, wewe pamoja na mke wako, watoto wako na wake zao.
Genesis 6:19	Na kutoka viumbe vyote vyenye uhai, utaingiza wanyama wawili wawili, dume na jike, uwahifadhi pamoja na wewe.
Genesis 6:20	Na kutoka kila aina ya ndege, na kila aina ya wanyama, na kila aina ya viumbe ambao wanatambaa chini, wote watakuja kwako wawili wawili, uwahifadhi.
Genesis 6:21	Uchukue kila aina ya vyakula, viwe vya kutosha kwenu na kwa viumbe vyote katika safina.”
Genesis 6:22	Basi, Nuhu akafanya vyote kama Mungu alikuwa amemwamuru.
Genesis 7:1	Ndipo Bwana Mungu akamwambia kwamba, “Ingia katika safina, pamoja na watu wako. Miongoni mwa watu wote wa wakati huu, ni wewe peke yako nimeona kwamba, ni mtu mwenye haki mbele yangu.
Genesis 7:2	Uchukue wanyama saba saba ya aina zote ambayo inafaa kutolewa dhabihu, dume na jike. Lakini wanyama ambayo haifai kutolewa dhabihu, uingize wawili wawili, dume na jike.
Genesis 7:3	Tena uchukue ndege saba saba wa aina zote, dume na jike. Ufanye hivyo, ili wote waendelee kuwepo duniani.
Genesis 7:4	Siku saba kuanzia sasa, nitaleta mvua duniani. Itanyesha siku arobaini usiku na mchana, na viumbe vyote vyenye uhai ambavyo niliumba, nitaviangamiza duniani.”
Genesis 7:5	Nuhu akafanya yote ambavyo Bwana Mungu alikuwa amemwamuru.
Genesis 7:6	Ambapo mafuriko ya maji yalikuja duniani, Nuhu alikuwa na miaka mia sita.
Genesis 7:7	Hivyo Nuhu, mke wake, watoto wao na wake zao, wakaingia katika safina, ili wakwepe mafuriko ya maji.
Genesis 7:8	Basi, wanyama ambao wanafaa kutolewa dhabihu na ambao hawafai kutolewa dhabihu, ndege na viumbe vyote ambavyo vinatambaa chini,
Genesis 7:9	wakaja, madume na majike, wakaingia wawili wawili katika safina ambamo Nuhu alikuwemo. Ilitokea kama vile Mungu alikuwa ameamuru Nuhu.
Genesis 7:10	Siku saba ambapo ziliisha, mafuriko ya maji yakaanza kufunika ardhi.
Genesis 7:11	Ambapo Nuhu alikuwa na miaka mia sita, katika siku ya kumi na saba ya mwezi wa pili, mafuriko ya maji yakafika. Siku hiyo, chemichemi zote za ardhini ndani sana, zikatoa maji kwa nguvu. Anga yote ikafunguka, ikanyesha mvua nyingi sana.
Genesis 7:12	Mvua ikaendelea kunyesha siku arobaini, usiku na mchana.
Genesis 7:13	Siku ambayo mvua ilianza kunyesha, Nuhu na mke wake walikuwa wameingia katika safina, pamoja na watoto wao Shemu, Hamu, Yafethi, na wake wao.
Genesis 7:14	Waliingia pamoja na aina zote za mifugo, wanyama wa porini, ndege na viumbe ambavyo vinatambaa chini.
Genesis 7:15	Viumbe vyote vyenye uhai walikuja wawili wawili, wakaingia katika safina kwa Nuhu.
Genesis 7:16	Wote walikuwa madume na majike, kama ambavyo Mungu alikuwa ameamuru Nuhu. Ndipo Bwana Mungu mwenyewe akamfungia mlango.
Genesis 7:17	Mafuriko yaliendelea kuwa duniani kwa muda wa siku arobaini. Maji yakawa yanazidi kuongezeka, yakainua safina, ikaanza kuelea juu ya maji.
Genesis 7:18	Maji hayo yakaendelea kuongezeka sana, na safina ikawa inaelea juu ya maji.
Genesis 7:19	Ambapo maji yalizidi kuongezeka sana, yakafunika milima mirefu yote ya duniani.
Genesis 7:20	Ambapo maji yalizidi sana na kufunika milima yote, yakazidi urefu wa vilele vya milima kupita mikono saba.
Genesis 7:21	Kila kiumbe ambacho kilikuwa kinaishi duniani, kikaangamia, ndege, mifugo, wanyama wa porini, viumbe ambavyo vinatambaa chini, na watu wote.
Genesis 7:22	Kila kiumbe ambacho kilikuwa kinaishi katika nchi kavu, kikafa.
Genesis 7:23	Mungu aliangamiza kila kiumbe chenye uhai duniani, watu, mifugo, viumbe ambavyo vinatambaa chini, na ndege. Lakini Nuhu pamoja na watu wote na viumbe vyote ambao waliingia naye katika safina, ndio pekee walibakia.
Genesis 7:24	Mafuriko ya maji hayo, yakawa yamefunika dunia yote kwa siku mia moja na hamsini.
Genesis 8:1	Ndipo Mungu akamkumbuka Nuhu, pamoja na mifugo na wanyama wote wa porini ambao alikuwa nao katika safina. Basi, Mungu akavumisha upepo duniani, maji yakaanza kupunguka.
Genesis 8:2	Chemichemi za ardhini zikaziba, na mvua kutoka angani ikaisha.
Genesis 8:3	Maji yakaendelea kupungua duniani taratibu. Mwisho wa siku mia moja na hamsini,
Genesis 8:4	katika siku ya kumi na saba ya mwezi wa saba, safina ikatulia kwenye milima ya nchi ya Ararati.
